CID,zHD,zHDERR,MU,MUERR,RA,DEC,MWEBV,HOST_LOGMASS,IDSURVEY,kappa_5,kappa_10,kappa_20,kappa_30,kappa_comp_5_10,kappa_comp_10_20,kappa_comp_20_40,y_5,y_10,y_20,y_30,y_comp_5_10,y_comp_10_20,y_comp_20_40,mask_ok_kappa,mask_ok_y,n_pix_kappa,n_pix_y,delta_mu,delta_mu_deconf,clean_sample
16232,0.37436,0.00115,41.4722,0.234786,17.2054,-0.9896,0.0616878,10.651,1,0.7852537653592241,0.804046586758329,0.7239888717188633,0.600611477493499,-0.022551385678925784,0.10189163732295625,0.3602448680858055,,,,,,,,True,False,6,0,0.06890355368805956,0.0582459740422301,True
1299643,0.37676,0.00125,41.4155,0.15471,55.1026,-26.7221,0.0120497,9.253,10,-0.5517627388660074,-0.6519521889892004,-0.7551186594269879,-0.8022099791892717,0.12022734014783165,0.13130278055718403,-0.06520373940733348,,,,,,,,True,False,6,0,-0.003982362900877945,0.02271417127151497,True
1282736,0.37805,0.00125,41.3598,0.223183,35.8093,-6.2681,0.0251535,10.603,10,0.6824382936742912,0.9534275139871067,0.811620142946914,0.7572008999838465,-0.31615409036495135,0.2001986414685073,0.3600065817655927,,,,,,,,True,False,7,0,-0.06834289069807653,-0.04956917003752941,True
590031,0.37852,0.00152,41.4271,0.182401,149.073,2.0023,0.0158778,10.283,15,-0.8380156764506927,-0.824853271103558,-0.5448284706166582,-0.3587347732457415,-0.01754987379617967,-0.41180117718661735,-0.42794159795742887,,,,,,,,True,False,8,0,-0.004191477292515344,-0.025657240132872787,True
7779,0.37991,0.00125,41.2959,0.219919,310.08,-0.0072,0.056573,11.174,1,-0.563835283650816,-0.49952877697248793,-0.46109504192274153,-0.4510717192675246,-0.09645976001749201,-0.0489156627905864,-0.11487063380885082,,,,,,,,True,False,6,0,-0.14468211474371628,-0.15497109713161716,True
320099,0.37997,0.00152,41.4154,0.163795,36.0675,-3.916,0.0278746,10.7107,15,-1.081327054653369,-1.047367080574006,-0.9434698882389236,-0.8688360721527192,-0.05942995463888523,-0.14667838917894005,-0.24869827450885573,,,,,,,,True,False,7,0,-0.025582440363869807,-0.04791275071027199,True
500057,0.38061,0.01007,41.4614,0.188044,214.473,53.8417,0.00763861,9.102,15,-0.6189713412007056,-0.628406969658963,-0.615060476078219,-0.449145970319548,0.014153442687386164,-0.01756117576413707,-0.5276982892910379,,,,,,,,True,False,6,0,0.016151058382121164,0.0022575416986998463,True
110425,0.38092,0.00153,41.4511,0.201434,132.012,44.4493,0.022874,9.563,15,0.9178668628621984,1.0242491383304262,0.9193803235522795,0.8333672819655912,-0.15957341320234186,0.13222589689418518,0.2958957237323555,,,,,,,,True,False,6,0,0.003786859771999218,-0.011204592896694758,True
1299785,0.38129,0.00126,41.4549,0.20413,53.9115,-28.3193,0.00870959,10.185,10,0.22034003000557717,0.26155047339178794,0.22202271679523522,0.2597200072222502,-0.061815665079316184,0.05082140133842489,-0.04451226534300198,,,,,,,,True,False,6,0,0.005125174457177195,0.02508392290681176,True
000011,0.38153,0.00153,41.6775,0.218983,149.976,2.4119,0.0152233,11.5,15,0.9597179304163119,0.8944026279972314,0.8000542942453328,0.6408741291790914,0.07620118615559379,0.12737025056506301,0.4551745121882174,,,,,,,,True,False,7,0,0.22612958826537977,0.20471099186463174,True
040150,0.38185,0.00153,41.5615,0.198898,162.098,57.1482,0.00652227,8.413,15,-1.2960222273676831,-1.265919238661405,-1.1244227304621093,-0.9537045497523311,-0.040137318275037304,-0.20438384517676078,-0.38436471575502895,,,,,,,,True,False,8,0,0.10800358540454624,0.09419051758773085,True
580275,0.38248,0.00153,41.3726,0.265174,54.1391,-28.6139,0.010939,11.33,15,0.7095300429962056,0.6363119103079734,0.6156894493731396,0.5910806681540934,0.08786175922587858,0.026246768462515502,0.10922976064940726,,,,,,,,True,False,6,0,-0.08507716485279815,-0.10618701384755895,True
1343401,0.38291,0.00126,41.3678,0.206585,34.5721,-5.6549,0.0206299,10.74,10,-1.041363441202428,-1.0058567490249035,-1.1111214208945466,-1.099902678478593,-0.04970936904853418,0.14210730702401797,-0.15992145618723796,,,,,,,,True,False,7,0,-0.09272703203436095,-0.07362731885094573,True
1281886,0.38402,0.00126,41.5182,0.20184,41.7252,-1.0099,0.0286784,9.727,10,1.0742212234634387,1.0473175532438213,0.9443136623065622,0.954289178326374,0.03228440426354062,0.13243357406219036,0.05037986125881255,,,,,,,,True,False,6,0,0.05033001399428372,0.07582820351528907,True
360139,0.386,0.00153,41.5217,0.152114,185.739,47.5675,0.011454,11.022,15,0.13928565258166023,0.1334871270736322,0.20276966242956404,0.1431712061770132,0.008697788262042067,-0.0890775454576267,0.09265423296160495,,,,,,,,True,False,6,0,0.04078045096627392,0.019633488577473622,True
1338170,0.38672,0.00126,41.3791,0.270807,6.6699,-42.9641,0.00582973,9.889,10,-0.5027605588156715,-0.5374082469836485,-0.5136609013250604,-0.4268336223658392,0.0395973579062594,-0.034301721506849514,-0.15139363728851518,,,,,,,,True,False,8,0,-0.10654947397061676,-0.07940469863798336,True
550218,0.38744,0.00153,41.5567,0.273474,332.927,0.9013,0.0399972,9.1626,15,0.8542606596101769,0.8536598891104582,0.9898994578086234,1.0500825234629747,0.0008410786996063679,-0.18922162319189606,0.0446074612834273,,,,,,,,True,False,7,0,0.06632875293627905,0.050103319551435314,True
050251,0.38781,0.00153,41.6302,0.283892,214.327,53.9783,0.00865436,11.401,15,-0.6484581332747406,-0.7136130071147885,-0.5294971811057886,-0.42835472192918456,0.10859145640007983,-0.22596033192013615,-0.36910780000466425,,,,,,,,True,False,5,0,0.1374054477807789,0.11646024100846158,True
420352,0.38895,0.01007,41.383,0.199578,35.1822,-3.9625,0.0173853,9.185,15,-0.16778706044466443,-0.23720125783281928,-0.33683660543728117,-0.431675775655166,0.08329703686578585,0.1310991415848181,0.23405270297656466,,,,,,,,True,False,6,0,-0.11724750641257486,-0.13184341677861916,True
1290779,0.38949,0.00513,41.544,0.192176,54.7233,-27.9051,0.00950024,7.0,10,1.23489140989864,1.2121874733603382,1.2638719280641872,1.2267274921545135,0.02594735604377374,-0.07600655103507248,0.17887923082842172,,,,,,,,True,False,8,0,0.04022920917609696,0.06710946978260238,True
120086,0.39255,0.00153,41.4742,0.237288,150.789,2.1434,0.0160802,11.029,15,-1.1675655047986002,-1.121005710238472,-1.0158325237928292,-0.9665491244081746,-0.054319760320149735,-0.14198380170161762,-0.11120607096875657,,,,,,,,True,False,7,0,-0.04945096951522743,-0.0709313182797666,True
1291794,0.3951,0.00127,41.4677,0.203648,55.1693,-28.7119,0.0105775,10.935,10,1.284171378869512,1.2991085902269803,1.3793861481487981,1.4576126815270654,-0.01742674658371346,-0.10837470319445375,-0.14997492237554422,,,,,,,,True,False,7,0,-0.07240836569820885,-0.052584227889079765,True
1296273,0.39706,0.00513,41.259,0.168535,41.0798,-0.4504,0.0305363,8.564,10,0.46967885548863075,0.476614677435872,0.4679279211465701,0.39412404731334116,-0.009247762596321707,0.012547536862324848,0.3811112631814584,,,,,,,,True,False,8,0,-0.29369117818804824,-0.268326877938472,True
1333438,0.39944,0.00127,41.7119,0.28782,52.3525,-28.9967,0.00692968,10.682,10,0.5577580858267556,0.6002774531988005,0.5952150476164277,0.594658929659415,-0.059527114320862884,0.006927502375878469,0.08651090906027692,,,,,,,,True,False,7,0,0.14400688805019257,0.16409390543416663,True
05D4ff,0.4005,0.00154,41.4918,0.158339,334.084,-18.0426,0.0245017,10.543,4,0.781070407503722,0.7744672481844845,0.7754441764818361,0.7110285207539133,0.009904738978856242,-0.0012560506680234784,0.25718887364399823,,,,,,,,True,False,6,0,-0.08283670243095997,-0.07453489282235604,True
110734,0.40221,0.00154,41.4795,0.199524,131.069,45.3442,0.0211811,11.404,15,-2.679731158754804,-2.709836392412641,-2.551940311284314,-2.4264529809107156,0.0752630841445936,-0.19378155411203846,-0.3462411983917302,,,,,,,,True,False,5,0,-0.10598070074910737,-0.1278286450702603,True
580312,0.40293,0.00154,41.5478,0.290402,35.2534,-4.8171,0.0189272,10.527,15,-0.4136523467654943,-0.3478561350346912,-0.5950674168970883,-0.731915099684596,-0.0789554540769637,0.3178430766802249,0.24519802537695778,,,,,,,,True,False,6,0,-0.042233806461347,-0.06391932383332394,True
1329615,0.40368,0.00127,41.616,0.213828,35.4427,-5.6398,0.0203055,10.908,10,-0.2543381465466485,-0.2607455328011196,-0.42717558851789456,-0.5844222297122029,0.010678977090785247,0.20605625945886402,0.25649097393534775,,,,,,,,True,False,5,0,0.021231393401095033,0.040354484419513,True
06D3ed,0.40463,0.00154,41.6747,0.166047,214.699,52.7566,0.00715005,9.512,4,1.1478889641815542,1.176323076884859,1.1840996454617208,1.1460371267306266,-0.03980775778462653,-0.010641620157811227,0.2549111994230634,,,,,,,,True,False,7,0,0.07394568109707222,0.0904764248599893,True
350050,0.40483,0.00154,41.3373,0.202033,161.08,58.0762,0.00900712,10.504,15,-1.8743634310459176,-1.9233783100872832,-1.830500878514668,-1.7357561663959185,0.06862083065791169,-0.12538453262303073,-0.3109015194065714,,,,,,,,True,False,7,0,-0.26471280738207525,-0.285683435748337,True
05D4dt,0.4055,0.00154,41.7807,0.135518,333.608,-17.6711,0.0220721,10.429,4,0.24235596912076285,0.24025671375220226,0.24344750091377085,0.18562277335271,0.0031488830528408895,-0.004061001841996398,0.14865771135646644,,,,,,,,True,False,6,0,0.17447545502955109,0.1829523533802101,True
1308314,0.40646,0.00514,41.6914,0.168815,53.4156,-28.9407,0.0067592,7.522,10,-0.3440558851925567,-0.3017082271613809,-0.1944764359512701,-0.015519200470036226,-0.049405601036371705,-0.14893304334737617,-0.38865054759811085,,,,,,,,True,False,7,0,0.07915196620859177,0.10622975943179239,True
1341370,0.40895,0.00514,41.7002,0.240024,8.9639,-44.6767,0.00870372,8.648,10,0.31019132182315984,0.25273026966000045,0.2885395993178054,0.4080329138281766,0.0656697739007536,-0.05088694214530176,-0.171846823948494,,,,,,,,True,False,8,0,0.07238985241616547,0.09932751411125407,True
1306390,0.4092,0.00128,41.7405,0.363654,43.3164,-0.0301,0.0556373,10.29,10,-0.20699126006290053,-0.1808953001353172,-0.27744246164309344,-0.412111975989583,-0.039143939891374935,0.12413206479571218,0.20278512115218916,,,,,,,,True,False,6,0,0.11113225206675281,0.12770916247250141,True
450339,0.40935,0.00154,41.7061,0.274957,36.2874,-3.3534,0.0204271,10.546,15,0.6161596637356656,0.47103244672014327,0.47231412594865224,0.40384233660219465,0.1693150865181094,-0.0018094294990715354,0.15977168706155387,,,,,,,,True,False,7,0,0.07579811572708195,0.05400450829739657,True
06D4cq,0.40949,0.00154,41.6784,0.172193,334.231,-17.712,0.0233001,9.107,4,0.5027522343860846,0.4724618092731731,0.5072367348622825,0.4849693574352308,0.0424065951580761,-0.0482985077626521,0.11071485195063713,,,,,,,,True,False,7,0,0.04722654172314833,0.06259343467168174,True
020090,0.41004,0.00154,41.6836,0.279968,212.879,53.5796,0.0110757,11.32,15,0.45685108248421025,0.4748019044599212,0.48447661079244186,0.47247158159043334,-0.026926232963566443,-0.012313262605026298,0.05798331310256605,,,,,,,,True,False,6,0,0.049005176270320305,0.02788547601154941,True
